book_key,book_id,book_category,book_subcategory,rank,book_partial_url,dist_rating,book_title,author,price,book_type,number_of_review,rating,audible_length,narrator,release_date,publisher,program_type,book_version,book_language,asin,page_number,isbn_10,isbn_13,book_weight,book_dimensions,file_size,text_to_speech,screenreader,enhanced_typesetting,word_wise,x_ray,book_weight_gram,price_$,review_num,audible_length_minute,file_size_kb,page_num,book_width,book_thick,book_height,date_release,rate_5,rate_4,rate_3,rate_2,rate_1,rank_text,review_score,estimated_total_sales,row_number
32074,101,Biographies & Memoirs,Professional & Academic Biographies,#19,/Scratch-Memoir-Love-Sicily-Finding/dp/B07M7KZKDF/ref=zg_bs_935136_sccl_19/000-0000000-0000000?pd_rd_i=B07M7KZKDF&psc=1,"[66%, 22%, 8%, 2%, 1%]","From Scratch: A Memoir of Love, Sicily, and Finding Home",Tembi Locke,$30.70,AudibleAudiobook,1602,4.5,10 hours and 17 minutes,Tembi Locke,April 30 2019,Simon & Schuster Audio,Audiobook,Unabridged,English,B07M7KZKDF,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,NaN,1602,617,0,0,NaN,,,2019-04-30,66,22,8,2,1,Top rank,72.09,,1
128,129,Travel,US Travel Guides,#29,/Wild-Found-Pacific-Crest-Trail/dp/B072871639/ref=zg_bs_961664_sccl_29/000-0000000-0000000?pd_rd_i=B072871639&psc=1,"[71%, 19%, 6%, 2%, 2%]",Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,$36.85,AudibleAudiobook,20614,4.6,13 hours and 2 minutes,Bernadette Dunne,March 20 2012,Random House Audio,Audiobook,Unabridged,English,B072871639,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,NaN,20614,782,0,0,NaN,,,2012-03-20,71,19,6,2,2,Middle rank,948.24,,1
132,133,Travel,US Travel Guides,#33,/The-Solace-of-Open-Spaces/dp/B08J87NMHK/ref=zg_bs_961664_sccl_3/000-0000000-0000000?pd_rd_i=B08J87NMHK&psc=1,"[72%, 17%, 7%, 2%, 2%]",The Solace of Open Spaces,Gretel Ehrlich,$23.03,AudibleAudiobook,615,4.6,4 hours and 44 minutes,Gretel Ehrlich,January 19 2021,Penguin Audio,Audiobook,Unabridged,English,B08J87NMHK,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,23.03,615,284,0,0,NaN,,,,72,17,7,2,2,Middle rank,28.29,,1
9396,148,Professional & Technical Books,Architecture,#48,/99-Invisible-City-Hidden-Everyday/dp/B08KC2GGY8/ref=zg_bs_951342_sccl_18/000-0000000-0000000?pd_rd_i=B08KC2GGY8&psc=1,"[83%, 10%, 4%, 1%, 1%]",The 99% Invisible City: A Field Guide to the Hidden World of Everyday Design,Roman Mars,$35.01,AudibleAudiobook,2822,4.7,10 hours and 48 minutes,Roman Mars,October 06 2020,HMH Audio,Audiobook,Unabridged,English,B08KC2GGY8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,30.26,2822,0,0,0,NaN,,,,83,10,4,1,1,Middle rank,132.63,,1
188,178,Travel,US Travel Guides,#89,/Haunted-Road-Atlas-Dangerous-Destinations/dp/B09VYBQT6W/ref=zg_bs_961664_sccl_9/000-0000000-0000000?pd_rd_i=B09VYBQT6W&psc=1,"[92%, 4%, 2%, 1%, 1%]","A Haunted Road Atlas: Sinister Stops, Dangerous Destinations, and True Crime Tales",Christine Schiefer,$25.90,AudibleAudiobook,476,4.9,6 hours and 45 minutes,Christine Schiefer,May 31 2022,Andrews McMeel Publishing,Audiobook,Unabridged,English,B09VYBQT6W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,32.99,476,405,0,0,NaN,,,2022-05-31,92,4,2,1,1,Low rank,23.32,739571.95,1
196,191,Travel,US Travel Guides,#97,/A-Walk-in-the-Woods/dp/B0716QNP1L/ref=zg_bs_961664_sccl_17/000-0000000-0000000?pd_rd_i=B0716QNP1L&psc=1,"[64%, 20%, 12%, 2%, 1%]",A Walk in the Woods,Bill Bryson,$25.06,AudibleAudiobook,9270,4.4,5 hours and 58 minutes,Bill Bryson,April 01 2010,Random House AudioBooks,Audiobook,Abridged,English,B0716QNP1L,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,25.06,9270,358,0,0,NaN,,,2010-04-01,64,20,12,2,1,Low rank,407.88,368820.20,1
325,302,Teen & Young Adult,Social Sciences for Young Adults,#26,/White-Fragility-Adapted-Young-Adults/dp/B0B6225L22/ref=zg_bs_20941649011_sccl_26/000-0000000-0000000?pd_rd_i=B0B6225L22&psc=1,"[100%, 0%, 0%, 0%, 0%]",White Fragility (Adapted for Young Adults): Why Understanding Racism Can Be So Hard for White People (Adapted for Young Adults),Robin DiAngelo,$49.88,AudibleAudiobook,2,5,5 hours and 51 minutes,nan,September 13 2022,"Dreamscape Media, LLC",Audiobook,Unabridged,English,B0B6225L22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,22.00,2,0,0,0,NaN,,,,100,0,0,0,0,Middle rank,,,1
20293,310,Teen & Young Adult,History Reference Material for Young Adults,#52,/The-Fountains-of-Silence/dp/B07QV1JPH7/ref=zg_bs_20941583011_sccl_2/000-0000000-0000000?pd_rd_i=B07QV1JPH7&psc=1,"[72%, 22%, 5%, 1%, 1%]",The Fountains of Silence,Ruta Sepetys,$42.22,AudibleAudiobook,2445,4.6,12 hours and 24 minutes,Ruta Sepetys,October 01 2019,Listening Library,Audiobook,Unabridged,English,B07QV1JPH7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,42.22,2445,0,0,0,NaN,,,,71,22,5,1,1,Middle rank,112.47,,1
349,340,Teen & Young Adult,Social Sciences for Young Adults,#50,/1493-Young-People-Columbuss-Globalization/dp/B072L9SZSQ/ref=zg_bs_20941649011_sccl_20/000-0000000-0000000?pd_rd_i=B072L9SZSQ&psc=1,"[79%, 3%, 5%, 0%, 12%]",1493 for Young People: From Columbus's Voyage to Globalization,Rebecca Stefoff,$23.10,AudibleAudiobook,44,4.4,6 hours and 32 minutes,James Fouhey,April 07 2016,Audible Studios,Audiobook,Unabridged,English,B072L9SZSQ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,23.10,44,392,0,0,NaN,,,2016-04-07,77,3,5,0,14,Middle rank,,3091.55,1
352,343,Teen & Young Adult,Social Sciences for Young Adults,#53,/Surviving-Emotional-Roller-Coaster-Emotions/dp/B0872JDJ36/ref=zg_bs_20941649011_sccl_3/000-0000000-0000000?pd_rd_i=B0872JDJ36&psc=1,"[88%, 6%, 0%, 6%, 0%]",Surviving the Emotional Roller Coaster: DBT Skills to Help Teens Manage Emotions,Sheri Van Dijk MSW,$19.18,AudibleAudiobook,24,4.8,5 hours and 56 minutes,Suzie Althens,April 28 2020,Tantor Audio,Audiobook,Unabridged,English,B0872JDJ36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,NaN,24,356,0,0,NaN,,,2020-04-28,88,6,0,6,0,Middle rank,,,1
