book_key,book_id,book_category,book_subcategory,rank,book_partial_url,dist_rating,book_title,author,price,book_type,number_of_review,rating,audible_length,narrator,release_date,publisher,program_type,book_version,book_language,asin,page_number,isbn_10,isbn_13,book_weight,book_dimensions,file_size,text_to_speech,screenreader,enhanced_typesetting,word_wise,x_ray,book_weight_gram,price_$,review_num,audible_length_minute,file_size_kb,page_num,book_width,book_thick,book_height,date_release,rate_5,rate_4,rate_3,rate_2,rate_1,rank_text,review_score,estimated_total_sales,row_number
31,32,Arts & Photography,Sculpture,#32,/Beginners-Guide-Hand-Building-Functional-ebook/dp/B0BJ52WCSG/ref=zg_bs_934560_sccl_2/000-0000000-0000000?pd_rd_i=B0BJ52WCSG&psc=1,"[100%, 0%, 0%, 0%, 0%]",The Beginner's Guide to Hand Building: Functional and Sculptural Projects for the Home Potter (Essential Ceramics Skills),Sunshine Cobb,CDN$ 26.99,KindleEdition,1,5,nan,nan,Oct. 11 2022,QuarryBooks,nan,nan,English,B0BJ52WCSG,176 pages,nan,nan,nan,nan,22078 KB,Enabled,Supported,Enabled,Not Enabled,Not Enabled,NaN,26.99,1,0,22078,176,NaN,,,2022-10-11,100,0,0,0,0,Middle rank,,8955.77,1
32,33,Arts & Photography,Sculpture,#33,/Artisan-Air-Dry-Clay-Beginners-Inexpensive-ebook/dp/B09ZDFVK2H/ref=zg_bs_934560_sccl_3/000-0000000-0000000?pd_rd_i=B09ZDFVK2H&psc=1,"[64%, 36%, 0%, 0%, 0%]","Artisan Air-Dry Clay: The Beginner’s Guide to Easy, Inexpensive & Stylish No-Kiln Pottery",Radka Hostasova,CDN$ 15.76,KindleEdition,6,4.6,nan,nan,April 25 2022,StashBooks,nan,nan,English,B09ZDFVK2H,248 pages,nan,nan,nan,nan,65211 KB,Enabled,Supported,Enabled,Not Enabled,Not Enabled,NaN,15.76,6,0,65211,248,NaN,,,2022-04-25,64,36,0,0,0,Middle rank,,3614.07,1
37,38,Arts & Photography,Sculpture,#38,/Assemble-ton-propre-hibou-papier-ebook/dp/B08HCLGC8G/ref=zg_bs_934560_sccl_8/000-0000000-0000000?pd_rd_i=B08HCLGC8G&psc=1,"[0%, 0%, 0%, 0%, 0%]",Assemble ton propre hibou en papier: DIY décoration murale | Sculpture 3D | Patron PDF papercraft (Ecogami / sculpture en papier t. 138) (French Edition),Éric François,CDN$ 9.99,KindleEdition,unknown,0,nan,nan,nan,nan,nan,nan,French,B08HCLGC8G,18 pages,nan,nan,nan,nan,5670 KB,Not enabled,nan,Not Enabled,Not Enabled,nan,NaN,9.99,,0,5670,18,NaN,,,,0,0,0,0,0,Middle rank,,,1
39,40,Arts & Photography,Sculpture,#40,/Artful-Paper-Clay-Techniques-Dimension-ebook/dp/B01LYYN5CS/ref=zg_bs_934560_sccl_10/000-0000000-0000000?pd_rd_i=B01LYYN5CS&psc=1,"[84%, 11%, 2%, 2%, 0%]",Artful Paper Clay: Techniques for Adding Dimension to Your Art,Rogene Manas,CDN$ 11.99,KindleEdition,113,4.8,nan,nan,Sept. 14 2016,NorthLightBooks,nan,nan,English,B01LYYN5CS,146 pages,nan,nan,nan,nan,90944 KB,Enabled,Supported,Enabled,Not Enabled,Not Enabled,NaN,11.99,113,0,90944,146,NaN,,,2016-09-14,84,11,2,2,0,Middle rank,5.42,4415.42,1
45,46,Arts & Photography,Sculpture,#46,/Beautiful-LEGO-Mike-Doyle-ebook/dp/B00FFJ1GG8/ref=zg_bs_934560_sccl_16/000-0000000-0000000?pd_rd_i=B00FFJ1GG8&psc=1,"[82%, 12%, 4%, 1%, 1%]",Beautiful LEGO (Beautiful LEGO Series),Mike Doyle,CDN$ 15.37,KindleEdition,262,4.7,nan,nan,Oct. 13 2013,NoStarchPress,nan,nan,English,B00FFJ1GG8,280 pages,nan,nan,nan,nan,73811 KB,Not enabled,nan,Not Enabled,Not Enabled,Not Enabled,NaN,15.37,262,0,73811,280,NaN,,,2013-10-13,82,12,4,1,1,Middle rank,12.31,8889.22,1
53,54,Arts & Photography,Sculpture,#54,/Auguste-Rodin-Sculpture-Reproductions-Sculptures-ebook/dp/B005FFTNVW/ref=zg_bs_934560_sccl_4/000-0000000-0000000?pd_rd_i=B005FFTNVW&psc=1,"[0%, 100%, 0%, 0%, 0%]",Auguste Rodin: 60+ Sculpture Reproductions - French Sculptures,Daniel Ankele,CDN$ 3.95,KindleEdition,1,4,nan,nan,July 31 2011,"AnkelePublishing,LLC",nan,nan,English,B005FFTNVW,nan,nan,nan,nan,nan,4033 KB,Enabled,nan,Not Enabled,Not Enabled,Not Enabled,NaN,3.95,1,0,4033,0,NaN,,,2011-07-31,0,100,0,0,0,Middle rank,,7.01,1
73,74,Arts & Photography,Sculpture,#74,/Backyard-Hobby-Metal-Casting-Complete-ebook/dp/B09S5L8LDM/ref=zg_bs_934560_sccl_24/000-0000000-0000000?pd_rd_i=B09S5L8LDM&psc=1,"[0%, 0%, 0%, 100%, 0%]",Backyard Hobby Metal Casting: A Complete Starter Guide to Building a Cheap Foundry and Starting to Melt and Cast Metals,Pete Daniel,CDN$ 9.99,KindleEdition,1,2,nan,nan,nan,nan,nan,nan,English,B09S5L8LDM,142 pages,nan,nan,nan,nan,14804 KB,Enabled,Supported,Enabled,Not Enabled,Not Enabled,NaN,9.99,1,0,14804,142,NaN,,,,0,0,0,100,0,Middle rank,,,1
100,101,Travel,US Travel Guides,#1,/Scratch-Memoir-Love-Sicily-Finding-ebook/dp/B07MGS7X6Y/ref=zg_bs_961664_sccl_1/000-0000000-0000000?pd_rd_i=B07MGS7X6Y&psc=1,"[66%, 22%, 9%, 3%, 1%]","From Scratch: A Memoir of Love, Sicily, and Finding Home",Tembi Locke,CDN$ 12.99,KindleEdition,1529,4.5,nan,nan,April 30 2019,Simon&Schuster,nan,nan,English,B07MGS7X6Y,352 pages,nan,nan,nan,nan,3192 KB,Enabled,Supported,Enabled,Enabled,Enabled,NaN,NaN,1529,617,3192,352,NaN,,,2019-04-30,66,22,8,2,1,Top rank,68.81,,1
101,102,Travel,US Travel Guides,#2,/What-Next-BRAND-laugh-out-loud-bestseller-ebook/dp/B09H2BNPTG/ref=zg_bs_961664_sccl_2/000-0000000-0000000?pd_rd_i=B09H2BNPTG&psc=1,"[64%, 24%, 8%, 2%, 1%]",What Next?: The BRAND NEW laugh-out-loud novel from #1 bestseller Shari Low,Shari Low,CDN$ 2.99,KindleEdition,2878,4.5,nan,nan,April 13 2022,BoldwoodBooks,nan,nan,English,B09H2BNPTG,315 pages,nan,nan,nan,nan,1404 KB,Enabled,nan,Enabled,Enabled,Enabled,NaN,2.99,2878,0,1404,315,NaN,,,2022-04-13,64,25,8,2,1,Top rank,129.51,309448.80,1
106,107,Travel,US Travel Guides,#7,/Worn-Out-Wife-Seeks-Life-ebook/dp/B093K6FHSV/ref=zg_bs_961664_sccl_7/000-0000000-0000000?pd_rd_i=B093K6FHSV&psc=1,"[58%, 28%, 11%, 2%, 1%]",Worn Out Wife Seeks New Life: ‘Escapist summer reading at its best.' Jill Mansell,Carmen Reid,CDN$ 3.99,KindleEdition,2010,4.4,nan,nan,July 27 2021,BoldwoodBooks,nan,nan,English,B093K6FHSV,276 pages,nan,nan,nan,nan,699 KB,Enabled,nan,Enabled,Enabled,Enabled,NaN,3.99,2010,0,699,276,NaN,,,2021-07-27,58,28,11,2,1,Top rank,88.44,126447.67,1
